"アーモンドチョコレート 88g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造）、アーモンド、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、還元水あめ／レシチン、香料、光沢剤、（一部に乳成分・アーモンド・大豆を含む）
"アーモンドチョコレート大箱 173g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、アーモンド、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、還元水あめ／レシチン、香料、光沢剤、（一部に乳成分・大豆を含む）
"アーモンドチョコレートストロベリー 47g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",アーモンド、砂糖、ココアバター、乳糖、植物油脂、全粉乳、脱脂粉乳、いちごチップ、バター加工品、いちごパウダー、還元水あめ／乳化剤、酸味料、光沢剤、香料、着色料（紅麹、フラボノイド）、酸化防止剤（V.C、V.E）、（一部に乳成分・アーモンド・大豆を含む）
"アーモンドチョコレート抹茶 79g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",アーモンド、砂糖、植物油脂、乳糖、全粉乳、ココアバター、まっ茶、脱脂粉乳、還元水あめ／乳化剤、光沢剤、酸化防止剤（V.C、V.E、ローズマリー抽出物）、着色料（クチナシ、フラボノイド）、香料、（一部に乳成分・大豆を含む）
"アーモンドチョコレートビッグパック 184g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、アーモンド、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、還元水あめ／レシチン、香料、光沢剤、（一部に乳成分・大豆を含む）
"マカダミアチョコレート 9粒 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、マカダミアナッツ、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、クリーミングパウダー／乳化剤、香料、（一部に乳成分・大豆を含む）
"マカダミアチョコレート大箱 20粒 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、マカダミアナッツ、全粉乳、カカオマス、植物油脂、ココアバター、乳糖、クリーミングパウダー／乳化剤、香料、（一部に乳成分・大豆を含む）
"ヘーゼルナッツチョコレート 52g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",カカオマス、ヘーゼルナッツ加工品、砂糖、ココアバター、ヘーゼルナッツペースト、植物油脂、還元水あめ／ソルビトール、乳化剤、光沢剤、香料、酸化防止剤（V.C、V.E）、（一部に乳成分・アーモンド・大豆を含む）
"きのこの山 74g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、小麦粉、カカオマス、植物油脂、全粉乳、ココアバター、乳糖、ショートニング、練乳加工品、脱脂粉乳、クリーミングパウダー、異性化液糖、麦芽エキス、食塩、イースト／乳化剤、膨脹剤、香料、（一部に小麦・乳成分・大豆を含む）
"きのこの山いちご＆ショコラ 64g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",小麦粉(国内製造)、砂糖、ココアバター、乳糖、植物油脂、全粉乳、練乳加工品、カカオマス、ショートニング、いちごパウダー、脱脂粉乳、異性化液糖、麦芽エキス、食塩、イースト／乳化剤、膨脹剤、香料、酸味料、野菜色素、酸化防止剤（ローズマリー抽出物）、（一部に小麦・乳成分・大豆を含む）
"作ろうきのこの山 36g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",クラッカー（国内製造）（小麦粉、植物油脂、ショートニング、砂糖、練乳パウダー、異性化液糖、麦芽エキス、食塩、イースト）、ホワイトクリーム（砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター）、（準）チョコレート（砂糖、植物油脂、全粉乳、カカオマス、脱脂粉乳、ココアパウダー）、ピンククリーム（砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター、いちごパウダー）／乳化剤、膨脹剤、香料、酸味料、野菜色素、（一部に小麦・乳成分・大豆を含む）
"たけのこの里 70g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、小麦粉、全粉乳、カカオマス、ショートニング、鶏卵、植物油脂、ココアバター、卵白、マーガリン、アーモンドペースト、乳糖、脱脂粉乳、食塩、クリーミングパウダー、麦芽エキス／乳化剤、膨脹剤、香料、（一部に小麦・卵・乳成分・大豆を含む）
"たけのこの里いちご＆ショコラ 61g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖(外国製造、国内製造)、小麦粉、ココアバター、乳糖、ショートニング、鶏卵、植物油脂、全粉乳、カカオマス、卵白、マーガリン、練乳加工品、アーモンドペースト、いちごパウダー、脱脂粉乳、食塩、麦芽エキス、クリーミングパウダー／乳化剤、膨脹剤、香料、酸味料、野菜色素、酸化防止剤（ローズマリー抽出物）、（一部に小麦・卵・乳成分・アーモンド・大豆を含む）
"たけのこの里ブルーベリー＆ショコラ 61g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、小麦粉、ココアバター、乳糖、ショートニング、鶏卵、植物油脂、全粉乳、カカオマス、卵白、マーガリン、練乳パウダー、アーモンドペースト、ブルーベリーパウダー、食塩、脱脂粉乳、いちごパウダー、麦芽エキス／乳化剤、酸味料、膨脹剤、着色料（クチナシ、ビートレッド）、香料、酸化防止剤（V.C、V.E）、（一部に小麦・卵・乳成分・アーモンド・大豆を含む）
